name,city,state,country,lat,lon,type,times_played,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29
John Paul Jones Arena,Charlottesville,VA,USA,38.0459871,-78.50664917,yes,1,12/5/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trax,Charlottesville,VA,USA,38.029306,-78.4766781,city,6,7/15/92,3/25/92,11/15/91,7/24/91,2/21/91,10/10/90,,,,,,,,,,,,,,,,,,,,,,,
"University Hall, University of Virginia",Charlottesville,VA,USA,38.029306,-78.4766781,city,1,10/27/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soldiers and Sailors Memorial Auditorium,Chattanooga,TN,USA,35.0456297,-85.3096801,city,1,10/16/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aragon Ballroom,Chicago,IL,USA,41.96942915,-87.65802629,arts_centre,1,11/2/01,4/10/93,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biddy Mulligan's,Chicago,IL,USA,41.8756208,-87.6243706,city,1,4/13/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabaret Metro,Chicago,IL,USA,41.8756208,-87.6243706,city,1,5/2/92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FirstMerit Bank Pavilion at Northerly Island,Chicago,IL,USA,41.8647525,-87.6102888,park,6,7/20/14,7/19/14,7/18/14,7/21/13,7/20/13,7/19/13,,,,,,,,,,,,,,,,,,,,,,,
Lounge Axe,Chicago,IL,USA,41.8756208,-87.6243706,city,2,11/9/90,3/30/90,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cubby Bear,Chicago,IL,USA,41.9469749,-87.6566688,pub,1,10/2/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Loop 97.9 Studios,Chicago,IL,USA,41.8756208,-87.6243706,city,1,6/18/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Vic Theatre,Chicago,IL,USA,41.8756208,-87.6243706,city,2,6/13/07,10/19/06,10/18/06,10/10/03,4/9/03,7/19/02,12/6/92,,,,,,,,,,,,,,,,,,,,,,
"Acker Gym, Chico State University",Chico,CA,USA,39.7578465,-121.8257107,city,1,12/4/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hibiya Outdoor Theatre,Chiyoda-ku,Tokyo,Japan,35.6885203,139.7514388,city,1,6/11/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep Train Amphitheatre,Chula Vista,CA,USA,32.6400541,-117.0841955,city,4,7/8/03,10/4/00,9/18/99,10/25/14,,,,,,,,,,,,,,,,,,,,,,,,,
Big Cat,Chuo-ku,Osaka,Japan,34.678983,135.516316,town,1,8/6/02,6/15/00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drum Logos,Chuo-ku,Fukuoka,Japan,33.592887,130.393981,0,1,6/14/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bogart's,Cincinnati,OH,USA,39.1014537,-84.5124602,city,2,6/9/07,10/22/05,10/11/03,10/17/02,7/21/02,12/3/92,5/5/92,,,,,,,,,,,,,,,,,,,,,,
Cincinnati Music Hall,Cincinnati,OH,USA,39.1014537,-84.5124602,city,1,6/21/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cincinnati Zoo Peacock Pavilion,Cincinnati,OH,USA,39.1014537,-84.5124602,city,1,8/6/93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firstar Center,Cincinnati,OH,USA,39.0979537,-84.50447537,stadium,2,12/3/99,12/4/99,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverbend Music Center,Cincinnati,OH,USA,39.1014537,-84.5124602,city,3,6/22/12,6/5/11,9/20/00,,,,,,,,,,,,,,,,,,,,,,,,,,
The Crown,Cincinnati,OH,USA,39.0979537,-84.50447537,stadium,1,11/14/98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Bank Arena,Cincinnati,OH,USA,39.09793605,-84.50446657,stadium,4,11/21/09,11/20/09,2/22/03,2/21/03,12/4/99,12/3/99,11/14/98,,,,,,,,,,,,,,,,,,,,,,
DTE Energy Music Theater,Clarkston,MI,USA,42.741365,-83.37228,hamlet,2,7/16/14,6/3/11,8/8/06,,,,,,,,,,,,,,,,,,,,,,,,,,
Boatyard Village Pavilion,Clearwater,FL,USA,27.9658533,-82.8001026,city,1,4/29/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSU Convocation Center,Cleveland,OH,USA,41.4871888,-81.6778691,city,3,11/13/98,12/5/97,12/8/95,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautica Stage,Cleveland,OH,USA,41.4871888,-81.6778691,city,2,7/19/06,6/25/94,8/8/93,,,,,,,,,,,,,,,,,,,,,,,,,,
The Agora Ballroom,Cleveland,OH,USA,41.4871888,-81.6778691,city,1,9/29/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Agora Theatre,Cleveland,OH,USA,41.4871888,-81.6778691,city,2,4/22/93,5/7/92,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton College,Clinton,NY,USA,43.053093,-75.408915,neighbourhood,2,5/15/90,11/5/88,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nardis Restaurant,Clinton,NY,USA,41.735496,-74.6744,neighbourhood,1,11/4/88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sigma Phi House, Hamilton College",Clinton,NY,USA,43.053093,-75.408915,neighbourhood,2,5/5/89,11/10/89,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ross Arena, St. Michael's College",Colchester,VT,USA,44.5476838,-73.1557176,village,1,11/19/92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alter Wartesaal,Cologne,,Germany,50.9421137,6.9589528,theatre,1,2/16/97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzbrunnen,Cologne,0,Germany,50.94642311,6.971818296,common,1,7/22/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Armstrong Hall, Colorado College",Colorado Springs,CO,USA,38.8338816,-104.8213634,city,2,10/31/90,10/31/91,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cutler Quad, Colorado College",Colorado Springs,CO,USA,38.8338816,-104.8213634,city,1,4/22/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pike's Peak Center,Colorado Springs,CO,USA,38.8338816,-104.8213634,city,1,3/9/93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenstreets,Columbia,SC,USA,34.0007104,-81.0348144,city,3,10/13/90,6/2/90,2/4/90,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jesse Auditorium, University of Missouri",Columbia,MO,USA,38.951883,-92.3337366,city,1,11/22/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merriweather Post Pavilion,Columbia,MD,USA,39.20891344,-76.8626749,arts_centre,11,7/27/14,7/26/14,7/14/13,7/13/13,6/12/11,6/11/11,6/27/10,6/26/10,8/15/09,6/22/02,7/28/01,9/17/00,7/9/99,8/8/98,7/17/92,,,,,,,,,,,,,,
The Blue Note,Columbia,MO,USA,38.951883,-92.3337366,city,1,9/17/05,10/24/02,4/12/00,3/31/92,,,,,,,,,,,,,,,,,,,,,,,,,
Township Auditorium,Columbia,SC,USA,34.0007104,-81.0348144,city,1,5/3/05,3/3/01,4/22/94,,,,,,,,,,,,,,,,,,,,,,,,,,
Newport Music Hall,Columbus,OH,USA,39.9622601,-83.0007065,city,3,4/8/00,2/4/00,4/21/93,4/20/93,12/2/92,,,,,,,,,,,,,,,,,,,,,,,,
Polaris Amphitheater,Columbus,OH,USA,39.9622601,-83.0007065,city,4,6/14/06,7/24/01,7/15/00,7/14/00,7/23/99,7/31/98,,,,,,,,,,,,,,,,,,,,,,,
Stache's,Columbus,OH,USA,39.9622601,-83.0007065,city,1,3/27/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veterans Memorial Auditorium,Columbus,OH,USA,39.9620087,-83.008239,theatre,1,5/11/05,6/22/94,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dick's Sporting Goods Park,Commerce City,CO,USA,39.80574825,-104.8919098,stadium,9,8/31/14,8/30/14,8/29/14,9/1/13,8/31/13,8/30/13,9/2/12,9/1/12,8/31/12,9/4/11,9/3/11,9/2/11,7/19/08,,,,,,,,,,,,,,,,
Piazza Risorgimento,Como,0,Italy,45.6539904,9.041211745,residential,1,7/5/97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concord Pavilion,Concord,CA,USA,37.9590892,-121.9380149,yes,1,8/28/92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Upper, St. Paul's School",Concord,NH,USA,43.207106,-71.5370216,city,1,5/19/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumpehuset,Copenhagen,0,Denmark,55.6769981,12.5649964,nightclub,1,3/2/97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fillmore,Cortemaggiore,0,Italy,44.993766,9.930772,administrative,1,2/23/97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cossayuna Lake,Cossayuna,NY,USA,43.2047108,-73.42033518,water,1,6/27/88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newport State Airport,Coventry,VT,USA,44.88863,-72.2284223,aerodrome,3,8/15/04,8/14/04,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blossom Music Center,Cuyahoga Falls,OH,USA,41.1339449,-81.4845585,city,6,6/24/12,6/4/11,6/12/10,9/18/00,6/20/95,7/31/92,,,,,,,,,,,,,,,,,,,,,,,
Deep Ellum Live,Dallas,TX,USA,32.7801052,-96.8000082,city,1,3/5/93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhythm Room,Dallas,TX,USA,32.7801052,-96.8000082,city,2,11/4/91,10/27/90,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starplex Amphitheatre,Dallas,TX,USA,32.7801052,-96.8000082,city,2,8/4/06,7/26/98,7/25/97,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bomb Factory,Dallas,TX,USA,32.7801052,-96.8000082,city,1,5/7/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cow Palace,Daly City,CA,USA,37.7067184,-122.4187448,yes,1,11/29/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darien Lake Performing Arts Center,Darien Center,NY,USA,42.9011709,-78.3886312,hamlet,5,6/8/11,8/13/09,7/8/06,6/16/02,9/14/00,8/14/97,8/7/93,,,,,,,,,,,,,,,,,,,,,,
"Love Auditorium, Davidson College",Davidson,NC,USA,35.7902384,-80.2115053,administrative,1,11/13/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Recreation Hall, University of Cali...",Davis,CA,USA,38.545379,-121.7445835,administrative,1,12/2/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canal Street Tavern,Dayton,OH,USA,39.7589478,-84.1916069,city,1,3/29/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ervin J. Nutter Center, Wright Stat...",Dayton,OH,USA,39.7589478,-84.1916069,city,2,11/30/95,12/7/97,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hara Arena,Dayton,OH,USA,39.82123384,-84.25577131,sports_centre,1,11/17/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centre International,Deauville,0,France,49.3539412,0.076527101,administrative,1,7/9/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herman's Hideaway,Denver,CO,USA,39.76426375,-104.9548144,administrative,1,4/18/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McNichols Arena,Denver,CO,USA,39.76426375,-104.9548144,administrative,3,11/4/98,11/17/97,11/16/97,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepsi Center,Denver,CO,USA,39.748656,-105.0075744,stadium,1,2/18/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civic Center,Des Moines,IA,USA,41.58701,-93.620809,city,1,6/14/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spiaggia di Rivoltella,Desenzano,0,Italy,45.4644956,10.54434144,residential,1,7/6/97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobo Arena,Detroit,MI,USA,42.32624455,-83.04714986,yes,1,11/18/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Andrew's Hall,Detroit,MI,USA,42.3327,-83.0419,yes,1,5/6/92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Strand Theater,Dorchester,MA,USA,42.2973205,-71.0744952,suburb,1,4/28/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dour Festival,Dour,0,Belgium,50.3978815,3.7806897,administrative,1,7/13/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The S.F.X. Centre,Dublin,0,Ireland,53.3494299,-6.2600969,city,2,6/14/97,6/13/97,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memorial Union Building, University...",Durham,NH,USA,43.1340949,-70.9265127,administrative,2,4/27/89,11/2/89,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nick's Basement, University of New ...",Durham,NH,USA,43.1340949,-70.9265127,administrative,1,9/16/88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Snivley Arena, University of New Ha...",Durham,NH,USA,43.1340949,-70.9265127,administrative,1,4/11/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of New Hampshire,Durham,NH,USA,43.13446337,-70.93320164,house,1,1/2/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philipshalle,Dusseldorf,0,Germany,51.2235376,6.7637565,city,1,6/23/92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan State University Union Ballroom,East Lansing,MI,USA,42.7355416,-84.4852469,city,1,5/3/92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MSU Auditorium, Michigan State Univ...",East Lansing,MI,USA,42.7355416,-84.4852469,city,1,11/18/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Continental Airlines Arena,East Rutherford,NJ,USA,40.833989,-74.0970865,administrative,2,10/3/12,2/24/03,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Valley Music Theatre,East Troy,WI,USA,42.7851871,-88.4054374,administrative,15,7/1/12,6/30/12,8/15/10,8/14/10,6/21/09,6/20/09,6/26/04,6/25/04,7/19/03,7/18/03,7/21/01,7/8/00,7/24/99,8/1/98,8/9/97,8/10/96,,,,,,,,,,,,,
Fiddler's Green,Englewood,CO,USA,39.653299,-105.002938,city,1,9/27/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gothic Theatre,Englewood,CO,USA,39.653299,-105.002938,city,2,10/27/01,10/26/01,11/1/91,3/15/91,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Venue,Enosburg,VT,USA,44.882689,-72.751099,city,1,8/25/88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warner Theatre,Erie,PA,USA,42.1274164,-80.0828231,theatre,1,11/13/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doctor Music Festival,Escalarre,0,Spain,42.6162722,1.1399146,village,1,7/11/97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Champlain Valley Exposition,Essex Junction,VT,USA,44.4980437,-73.1206284,park,1,9/14/11,7/12/06,8/28/05,6/15/02,,,,,,,,,,,,,,,,,,,,,,,,,
"EMU Ballroom, University of Oregon",Eugene,OR,USA,44.0505054,-123.0950506,city,1,10/10/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hilton Ballroom,Eugene,OR,USA,44.0505054,-123.0950506,city,2,3/30/93,4/22/92,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Silva Concert Hall, Hult Center for...",Eugene,OR,USA,44.0505054,-123.0950506,city,1,5/19/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOW Hall,Eugene,OR,USA,44.0505054,-123.0950506,city,1,4/4/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Knight Arena,Eugene ,OR,USA,44.044719,-123.065684,arena,1,10/17/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redwood Acres Fairgrounds,Eureka,CA,USA,40.785056,-124.1665929,city,1,4/21/92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Gathering Place, Norris Univers...",Evanston,IL,USA,42.0447388,-87.6930459,city,1,4/15/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thompson Gym, Phillips Exeter Academy",Exeter,NH,USA,42.981477,-70.9478343,administrative,1,1/13/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Patriot Center, George Mason University",Fairfax,VA,USA,38.8462236,-77.3063733,city,2,4/17/94,10/8/94,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenax,Florence,0,Italy,43.7698712,11.2555757,city,1,2/21/97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canyon West Room, Lincoln Center",Fort Collins,CO,USA,40.5508527,-105.0668085,city,1,4/21/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Ram,Fort Collins,CO,USA,40.5508527,-105.0668085,city,1,11/4/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lory Student Center Theatre, Colora...",Fort Collins,CO,USA,40.5508527,-105.0668085,city,1,11/2/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ramskeller, Colorado State University",Fort Collins,CO,USA,40.5508527,-105.0668085,city,1,4/20/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Rogers Auditorium,Fort Worth,TX,USA,32.753177,-97.3327459,city,1,10/13/95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Grey Hall,Freetown Christiana,Copenhagen,Denmark,55.674687,12.600605,0,4,7/2/98,7/1/98,6/30/98,,,,,,,,,,,,,,,,,,,,,,,,,,
"Band Shell, University of Florida",Gainesville,FL,USA,29.67356585,-82.32341393,bus_station,1,10/23/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Theatre,Gainesville,FL,USA,29.67356585,-82.32341393,bus_station,1,2/27/93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O'Connell Center, University of Florida",Gainesville,FL,USA,29.67356585,-82.32341393,bus_station,2,11/12/95,11/3/96,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kuhl Gym, SUNY Geneseo",Geneseo,NY,USA,42.795896,-77.816947,administrative,1,4/25/93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smith Opera House,Geneva,NY,USA,42.8669444,-76.9841667,theatre,1,2/19/00,2/10/93,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Barn, Hobart College",Geneva,NY,USA,42.8689552,-76.9777436,city,1,10/14/89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Quad, Hobart College",Geneva,NY,USA,42.8689552,-76.9777436,city,1,6/8/89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorge Amphitheatre,George,WA,USA,47.080055,-119.8572803,city,14,7/27/13,7/26/13,8/6/11,8/5/11,8/8/09,8/7/09,7/13/03,7/12/03,9/11/99,9/10/99,7/17/98,7/16/98,8/3/97,8/2/97,,,,,,,,,,,,,,,
Glens Falls Civic Center,Glens Falls,NY,USA,43.30817331,-73.64193155,stadium,2,10/23/13,10/20/07,10/31/94,,,,,,,,,,,,,,,,,,,,,,,,,,
Keswick Theatre,Glenside,PA,USA,40.10639531,-75.14687225,yes,1,11/25/92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UCSB Events Center, University of C...",Goleta,CA,USA,34.436283,-119.8714406,city,1,12/6/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeVos Hall,Grand Rapids,MI,USA,42.9633599,-85.6680863,city,1,11/14/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastbrook Theatre,Grand Rapids,MI,USA,42.9633599,-85.6680863,city,1,8/11/93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Andel Arena,Grand Rapids,MI,USA,42.96244295,-85.67158887,stadium,2,11/11/98,11/11/96,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beta Intramural Hockey Team Party, ...",Granville,OH,USA,40.0681192,-82.5196037,administrative,1,3/28/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Livingston Gymnasium, Denison University",Granville,OH,USA,40.0681192,-82.5196037,administrative,1,12/1/92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenfield Armory Castle,Greenfield,MA,USA,42.5877962,-72.6006199,city,1,12/5/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greensboro Coliseum,Greensboro,NC,USA,36.0726355,-79.7919754,city,1,3/1/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BI-LO Center,Greenville,SC,USA,34.8512316,-82.3985105,city,1,11/18/98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paul Wright Gym, Western State College",Gunnison,CO,USA,38.701092,-106.9759287,administrative,2,4/6/92,3/14/93,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markethalle,Hamburg,0,Germany,53.5437641,10.0099133,state,2,3/1/97,7/23/96,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stadtpark,Hamburg,0,Germany,53.5956317,10.01763974,park,2,7/25/96,6/19/92,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colgate University,Hamilton,NY,USA,42.816715,-75.536916,residential,1,4/30/88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cotterell Court, Reid Athletic Cent...",Hamilton,NY,USA,43.6307863,-74.4659275,administrative,1,4/23/93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampton Coliseum,Hampton,VA,USA,37.03468655,-76.38138612,stadium,18,10/20/13,10/19/13,10/18/13,3/8/09,3/7/09,3/6/09,8/9/04,1/4/03,1/3/03,1/2/03,12/18/99,12/17/99,11/21/98,11/20/98,11/22/97,11/21/97,10/25/96,11/25/95,,,,,,,,,,,
Hampton Casino Ballroom,Hampton Beach,NH,USA,42.871834,-70.81823,bus_stop,1,7/18/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Collis Center, Dartmouth College",Hanover,NH,USA,43.7033073,-72.2885663,administrative,2,5/6/89,8/19/89,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dartmouth College,Hanover,NH,USA,43.7047927,-72.2925909,school,1,1/28/89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Webster Hall, Dartmouth College",Hanover,NH,USA,43.7033073,-72.2885663,administrative,2,1/20/90,11/24/91,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alpha Delta Phi Fraternity, Trinity...",Hartford,CT,USA,41.7228515,-88.1495517,residential,1,5/27/89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartford Civic Center,Hartford,CT,USA,41.76844528,-72.67704817,sports_centre,3,10/27/13,12/19/03,12/12/99,11/26/97,10/23/96,,,,,,,,,,,,,,,,,,,,,,,,
Meadows Music Theatre,Hartford,CT,USA,41.77992,-72.669096,residential,2,6/30/00,7/1/00,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Comcast Theatre,Hartford,CT,USA,41.779999,-72.66910649,theatre,3,6/18/10,6/17/10,8/14/09,7/3/06,7/1/00,6/30/00,,,,,,,,,,,,,,,,,,,,,,,
XL Center,Hartford,CT,USA,41.76844528,-72.67704817,sports_centre,1,10/27/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dining Center, Haverford College",Haverford,PA,USA,40.0131672,-75.2943516,hamlet,2,2/23/90,5/5/90,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian McLean's Farm,Hebron,NY,USA,43.2851885,-73.33120928,administrative,1,8/21/87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ian McLean's Party, Connie Condon's Farm",Hebron,NY,USA,43.2851885,-73.33120928,administrative,1,5/28/89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hersheypark Arena,Hershey,PA,USA,40.2854881,-76.6506001,administrative,1,12/1/95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hersheypark Stadium,Hershey,PA,USA,40.2854881,-76.6506001,administrative,3,6/13/10,9/15/00,8/14/96,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack McConnell's House,Hilton Head,SC,USA,32.193817,-80.7381637,island,1,5/28/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Old Post Office,Hilton Head,SC,USA,32.193817,-80.7381637,island,3,10/14/90,5/26/90,5/25/90,,,,,,,,,,,,,,,,,,,,,,,,,,
Beecher Hill Farm,Hinesburg,VT,USA,44.3292199,-73.110679,village,1,5/15/88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Red Barn,Hinesburg,VT,USA,44.3292199,-73.110679,village,1,8/4/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poplar Creek Music Center,Hoffman Estates,IL,USA,42.0426639,-88.079871,administrative,1,8/1/92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollywood Bowl,Hollywood,CA,USA,34.11218575,-118.3392772,theatre,2,9/26/14,8/5/13,8/8/11,,,,,,,,,,,,,,,,,,,,,,,,,,
The Palace,Hollywood,CA,USA,33.9499951,-118.4444484,residential,2,3/18/93,3/17/93,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garden State Arts Center,Holmdel,NJ,USA,40.3451095,-74.1840322,town,3,7/10/13,6/1/11,5/31/11,7/1/06,6/20/02,7/29/01,6/29/00,6/28/00,7/16/99,7/15/99,7/2/94,7/19/92,7/11/92,,,,,,,,,,,,,,,,
The Showbar,Houston,TX,USA,29.6757993,-95.40215907,variety_store,1,10/25/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower Theater,Houston,TX,USA,29.6757993,-95.40215907,variety_store,1,5/6/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murat Theatre,Indianapolis,IN,USA,39.7742232,-86.1509683,theatre,2,5/4/99,6/24/94,8/13/93,,,,,,,,,,,,,,,,,,,,,,,,,,
Empire Polo Club,Indio,CA,USA,33.7192808,-116.2188054,city,4,11/1/09,10/31/09,10/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Western Forum,Inglewood,CA,USA,33.9580693,-118.3420196,yes,2,2/14/03,10/24/14,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IMU Ballroom, University of Iowa",Iowa City,IA,USA,41.6606893,-91.5302214,city,1,4/12/93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irvine Meadows,Irvine,CA,USA,33.6862707,-117.8258199,city,1,9/19/99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verizon Wireless Amphitheater,Irvine,CA,USA,33.6862707,-117.8258199,city,1,10/5/00,9/19/99,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anaconda Theatre,Isla Vista,CA,USA,34.4142391,-119.8575702,island,1,4/16/92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bailey Hall, Cornell University",Ithaca,NY,USA,42.4396039,-76.4968019,city,1,11/22/92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Haunt,Ithaca,NY,USA,42.4514502,-76.5051168,nightclub,8,11/26/90,10/1/90,5/7/90,3/5/90,1/29/90,5/3/88,5/2/88,,,,,,,,,,,,,,,,,,,,,,
The State Theatre,Ithaca,NY,USA,42.43924665,-76.49954618,house,2,4/21/02,9/26/91,2/14/91,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson State College,Johnson,VT,USA,44.6410945,-72.6716731,school,1,2/13/87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Party,Johnson,VT,USA,44.6356063,-72.6803979,administrative,1,9/26/86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
